engine,mission_distance_km,mission_load_factor,mission_duration_hours,hydrogen_engine_type,hydrogen_adjusted_power_kw,hydrogen_energy_required_kwh,hydrogen_efficiency,hydrogen_hydrogen_needed_kg,energy_energy_delivered_kwh,energy_hydrogen_used_kg,cost_fuel_cost_usd,cost_carbon_price_usd_per_ton,cost_carbon_cost_usd,cost_total_cost_usd,cost_hydrogen_price_usd_per_kg,cost_total_hydrogen_used_kg,cost_cost_per_km_usd,cost_cost_per_ton_km_usd,emissions_emission_factor_kg_co2e_per_kg_h2,emissions_total_emissions_kg_co2e,emissions_emissions_per_km_kg_co2e,emissions_emissions_per_ton_km_kg_co2e
PEMFC,400,0.8,13.333333333333334,PEMFC,1200.0,16000.0,0.5,960.0960096009602,16000.0,960.0960096009602,4800.480048004801,100,960.0960096009601,5760.576057605761,5,960.0960096009602,14.401440144014403,0.004800480048004801,10,9600.960096009601,24.002400240024002,0.008000800080008
H2-ICE,400,0.8,13.333333333333334,H2-ICE,1200.0,16000.0,0.38,1263.284223159158,16000.0,1263.284223159158,6316.421115795791,100,1263.284223159158,7579.705338954949,5,1263.284223159158,18.949263347387372,0.006316421115795791,10,12632.842231591581,31.582105578978954,0.010527368526326318
